meststof,fertilizer
kas,greenhouse
distributie,distribution
verwerking,processing
verpakking,packaging
voeding,nutrition
oogstseizoen,harvest season
duurzaam,sustainable
fabriek,factory
transport,transport
zending,shipment
exporteren,to export
importeren,to import
voedingsetiket,nutrition label
ingrediënten,ingredients
boerenmarkt,farmers' market
zaaien,to sow
oogstmachine,harvest machine
opslag,storage
kwaliteitscontrole,quality control
schappen,shelves
toeleveringsketen,supply chain
bezorging,delivery
balans,balance
